time,x,y,z,vx,vy,vz
1774469289.5397885,0.599512777048338,0.18336380779867362,0.0,-14.65239332132849,-4.477916128285166,0.0
1774469296.4920826,0.20326973513704844,0.061317502524910944,60.0,-0.38978293640667977,-0.17702859765102277,0.0
1774469296.5399864,0.2035855581208492,0.06097030503147982,60.0,-0.4037138683823359,-0.1631412941436451,0.0
1774469296.5897915,0.20408796829349307,0.06035905100699988,60.0,-0.42563537394607576,-0.13793624788264813,0.0
1774469296.6397767,0.20458423024094702,0.0597598758559427,60.0,-0.4473118036666586,-0.1132141684755626,0.0
1774469296.6900141,0.20521791550257135,0.059437679175449204,60.0,-0.4748792652091033,-0.10029252848503149,0.0
1774469296.739786,0.20584452270197381,0.05912812462077731,60.0,-0.5021646963066174,-0.087875241364227,0.0
1774469296.7898195,0.2060358681120452,0.05817174042429487,60.0,-0.5108759912325564,-0.04778678555696342,0.0
1774469296.839763,0.20621880093448014,0.05722743301692851,60.0,-0.5192531965542102,-0.00818096645409614,0.0
1774469296.8899312,0.2066001857777302,0.05642367881539452,60.0,-0.5361338781987761,0.025456075073014756,0.0
1774469296.9397907,0.20697348685491224,0.0556336608670888,60.0,-0.5526934174360539,0.0585451582783405,0.0
1774469296.9898336,0.207422317382211,0.055326914771590685,60.0,-0.5725045804303456,0.07102844011655972,0.0
1774469297.0399868,0.20786272284751867,0.05503492876240332,60.0,-0.59198112934535,0.08292371442645445,0.0
1774469297.0897925,0.20781833173123265,0.054639110745469066,60.0,-0.5907727486425491,0.09929638357758404,0.0
1774469297.139837,0.2075723120415544,0.0545337162434475,60.0,-0.5809778282183651,0.10330231685285737,0.0
1774469297.1898026,0.2073178293328609,0.05444217758463314,60.0,-0.5708469651339362,0.10675642743768415,0.0
1774469297.239801,0.2070557532231033,0.05436384699444274,60.0,-0.5604146945867742,0.10968451716391009,0.0
1774469297.2898002,0.2065778364945448,0.05410312303268172,60.0,-0.5407819846387926,0.12044104507655155,0.0
1774469297.3399513,0.20609393493350947,0.05385434186686473,60.0,-0.5209116264780693,0.1307220500373827,0.0
1774469297.3898206,0.2050734832639734,0.053838063945959955,60.0,-0.47813381041605746,0.13110412388805776,0.0
1774469297.439777,0.20404916133342366,0.05383319483055996,60.0,-0.4352018556649758,0.13103181197256955,0.0
1774469297.4899848,0.2033736602031326,0.054231369414416135,60.0,-0.40717779487657785,0.1137717803541866,0.0
1774469297.5397534,0.20400328915344437,0.05533576230260577,60.0,-0.43491267958053864,0.06636929748613205,0.0
1774469297.589769,0.20463393287827708,0.056449116365461384,60.0,-0.46268947836871366,0.01860850467918801,0.0
1774469297.6398244,0.20478368884717452,0.0573161851250517,60.0,-0.4699229432146857,-0.018612543882390423,0.0
1774469297.6898,0.20493222113168277,0.05818760617151142,60.0,-0.47710859432396846,-0.05600828235856339,0.0
1774469297.739771,0.20507696854088345,0.05899434918728554,60.0,-0.4841376058310721,-0.09063441098961797,0.0
1774469297.78979,0.20522008660096666,0.05980214185081274,60.0,-0.49110262679092054,-0.12530377296144868,0.0
1774469297.83976,0.2050091275852487,0.06210501764438118,60.0,-0.4829453594254237,-0.22385509459879693,0.0
1774469297.8898113,0.20479617356397845,0.06440631099963914,60.0,-0.4747088863296611,-0.3223476142021441,0.0
1774469297.9397829,0.20479617356397845,0.06440631099963914,60.0,-0.4747088863296611,-0.3223476142021441,0.0
1774469297.9898071,0.20525025865399904,0.0665441220501532,60.0,-0.49497839367994134,-0.4138746404544444,0.0
1774469298.0398552,0.2057032292510807,0.06867310691636751,60.0,-0.5152049639185607,-0.5050543434240915,0.0
1774469298.0900874,0.20611118150615637,0.07053356731192,60.0,-0.5335146895604069,-0.584798777630872,0.0
1774469298.1398172,0.2065166187378718,0.0723793089379568,60.0,-0.5517256085274054,-0.6639608447832598,0.0
1774469298.1898477,0.2068504461510122,0.07414191665068867,60.0,-0.5668868149915852,-0.7396235833226036,0.0
1774469298.2398348,0.20718066428553897,0.0758854838109985,60.0,-0.5819054659091331,-0.814531745537985,0.0
1774469298.290093,0.20757777451460752,0.07780906603996127,60.0,-0.5997954165290488,-0.8971969960728959,0.0
1774469298.3399508,0.20797055067623627,0.07971010139151463,60.0,-0.617514057713782,-0.978968440269197,0.0
1774469298.3898172,0.20883234746481497,0.08171316581753406,70.0,-0.6552917410165903,-1.0651753833038027,0.0
1774469298.4398038,0.20968898404827904,0.08369004751514347,70.0,-0.69286620542334,-1.1503439212216102,0.0
1774469298.4898717,0.6972203883744499,0.08577361923188297,70.0,-0.19979486468004426,-1.2401579604652162,0.0
1774469298.5397093,1.185129751798041,0.08782752237239291,70.0,0.27822776909559704,-1.3287949359847835,0.0
1774469298.5900896,1.672877851739237,0.08999408986991186,70.0,0.7642398457028488,-1.4223431500547794,0.0
1774469298.6400268,2.1609978015308684,0.09212763105920051,70.0,1.2354480003399586,-1.51458071407278,0.0
1774469298.6897852,2.6506930823564283,0.09386858552573192,70.0,1.6404052513388505,-1.590144220396237,0.0
1774469298.739829,3.14075435668337,0.09557323393385254,70.0,2.030789104007972,-1.6642654198670972,0.0
1774469298.7899935,3.6306350343044143,0.0971154877472082,70.0,2.4299467348326402,-1.7315570669059333,0.0
1774469298.839946,4.120870334533729,0.09861989440385546,70.0,2.8149849235648556,-1.7973445111923227,0.0
1774469298.8903558,4.611442212643505,0.09934538297620496,70.0,3.1866599409375045,-1.8299510105517165,0.0
1774469298.9397852,5.102358229693497,0.1000322495470136,70.0,3.5446327799555326,-1.861020563573647,0.0
1774469298.989839,5.593559586116042,0.10149060287794384,70.0,3.891400540201103,-1.925180792518729,0.0
1774469299.0399208,6.085093725573982,0.10291233522537999,70.0,4.224918112593812,-1.987885355045526,0.0
1774469299.0899668,6.577150872675864,0.10395693010530031,70.0,4.537035971265251,-2.03457806482808,0.0
1774469299.1399386,7.069528883542154,0.10496424581875098,70.0,4.836377464084033,-2.0797878996515617,0.0
1774469299.1898403,7.562286202454403,0.10579881597361274,70.0,5.120424645675542,-2.1177222423367823,0.0
1774469299.239801,8.055351215113031,0.10659684727466691,70.0,5.3922193698831755,-2.154202684646248,0.0
1774469299.2901485,8.548779689975328,0.10708853479139678,70.0,5.6493570205245085,-2.177691989182996,0.0
1774469299.3397772,9.042502082106541,0.10754498973948934,70.0,5.894790282382185,-2.1997786651704554,0.0
1774469299.3899527,9.536105043121475,0.10783976198287049,70.0,6.1461711969189565,-2.2150528321450493,0.0
1774469299.4399052,10.029987668480675,0.10810155175894179,70.0,6.386415719779557,-2.2290135792537376,0.0
1774469299.4900208,10.524403325705538,0.10778846457076775,70.0,6.604671181004092,-2.218486846183357,0.0
1774469299.5398471,11.019085626446218,0.10744498059486259,70.0,6.812307830416756,-2.2067485050653284,0.0
1774469299.5897915,11.513961416681752,0.10714175600891136,70.0,7.012432891416053,-2.196813393814464,0.0
1774469299.6398618,12.009089808205719,0.1068123987280427,70.0,7.202498093571131,-2.1858366042273807,0.0
1774469299.6899078,12.504326928521014,0.10632653952918718,70.0,7.388635110793274,-2.168237828625944,0.0
1774469299.739787,12.99980284403948,0.1058182682543192,70.0,7.5652619689430285,-2.149745298710887,0.0
1774469299.789803,13.495508559988513,0.10515495148681374,70.0,7.732743605077925,-2.124681453262893,0.0
1774469299.8397846,13.991439798267654,0.10447309357258514,70.0,7.891243324899905,-2.0988778030707382,0.0
1774469299.8900957,14.487595835821086,0.10411125975450308,70.0,8.040772499424108,-2.0868068276481537,0.0
1774469299.9397793,14.983964237106386,0.1037349049438036,70.0,8.181843480525043,-2.0741567663734335,0.0
1774469299.9898357,15.480670728125508,0.10320838440430195,70.0,8.309060184035703,-2.055122843735807,0.0
1774469300.0400915,15.977576586405126,0.10266989757090328,70.0,8.428335806467194,-2.035611367707423,0.0
1774469300.0901313,16.474398926853492,0.10172177428203016,70.0,8.551748863212467,-1.998610993135413,0.0
1774469300.1398296,16.97140741807546,0.10076445209988047,70.0,8.66774741301621,-1.9612427085079238,0.0
1774469300.1897864,17.468477891565247,0.100744412379936,70.0,8.781624113968475,-1.9639801872919695,0.0
1774469300.2398307,17.965722532451093,0.10071906823144162,70.0,8.888563522717,-1.9665063394450715,0.0
1774469300.2899766,18.462781549206724,0.09968505792668698,70.0,9.003936899332603,-1.9259072421444077,0.0
1774469300.3400831,18.960003384091866,0.09864607107598575,70.0,9.112825287225885,-1.8851084447187356,0.0
1774469300.3897913,19.457726577632563,0.09800185629187923,70.0,9.20073431620701,-1.8612020595192758,0.0
1774469300.4397955,19.955602698346176,0.09735631007178693,70.0,9.28255162144322,-1.837241792991022,0.0
1774469300.489831,20.453429102505073,0.09698312673920836,70.0,9.366928475886183,-1.8249311153993455,0.0
1774469300.540085,20.951397569733512,0.09661057951172759,70.0,9.445646420821921,-1.8126453190795893,0.0
1774469300.5898604,21.44964123299474,0.09643863061524552,70.0,9.512996282411798,-1.8089360594418582,0.0
1774469300.6399689,21.94801709529671,0.09626818541199322,70.0,9.575079812581814,-1.8052864911673185,0.0
1774469300.6899295,22.44610931577746,0.0957026124876438,70.0,9.649669132657754,-1.784731041794712,0.0
1774469300.7397923,22.944323675699625,0.09513861950644276,70.0,9.719393166988135,-1.7642378659758322,0.0
1774469300.7898307,23.4431293432301,0.09470326361790998,70.0,9.764171020465538,-1.7492397349419115,0.0
1774469300.8399637,23.94204885217786,0.09427086085584072,70.0,9.80441347861493,-1.7343587523658992,0.0
1774469300.8898978,24.441077335917534,0.09384181997171118,70.0,9.840314362696796,-1.7196112137041308,0.0
1774469300.940139,24.9402147325498,0.09368566531977059,70.0,9.871862288514054,-1.7165251294401789,0.0
1774469300.9900134,25.43945169282116,0.09353362868155124,70.0,9.89944346619319,-1.7136028984837555,0.0
1774469301.0399325,25.93851922491328,0.0936594282056592,70.0,9.93455101802833,-1.7225535749431276,0.0
